namahotel,bintang,deskripsi,facility,nearbyattraction
@HOM Platinum Gowongan,3,"@HOM Platinum Gowongan Hotel, located in Tugu Jogja, Yogyakarta, is a popular choice for travelers. Set 1 km from the excitement of the city, this 3-star hotel commands an excellent location and provides access to the city's biggest attractions. A haven of rest and relaxation, the hotel will offer total renewal just steps away from the city's numerous attractions such as Tugu Railway Station, Kartika Trekking, Tugu Yogyakarta.
Rooms at @Hom Platinum Gowongan are fitted with a flat-screen cable TV and en suite bathroom with free toiletries and shower facilities.
Malabar Restaurant serves Chinese and international dishes at the hotel.
 Guests can arrange airport transfers and car rentals through the hotel staff, laundry and ironing services are also available with additional charges.","@HOM Platinum Gowongan Hotel, located in Tugu Jogja, Yogyakarta, is a popular choice for travelers. Set 1 km from the excitement of the city, this 3-star hotel commands an excellent location and provides access to the city's biggest attractions. A haven of rest and relaxation, the hotel will offer total renewal just steps away from the city's numerous attractions such as Tugu Railway Station, Kartika Trekking, Tugu Yogyakarta.
Rooms at @Hom Platinum Gowongan are fitted with a flat-screen cable TV and en suite bathroom with free toiletries and shower facilities.
Malabar Restaurant serves Chinese and international dishes at the hotel.
 Guests can arrange airport transfers and car rentals through the hotel staff, laundry and ironing services are also available with additional charges.",none
Abadi Hotel Malioboro Yogyakarta,4,"As a luxurious hotel in Malioboro area, Abdi Jogja boasts red design and features the exclusive building and a large parking area. Guests at this business can immediately feel the peaceful and comfortable atmosphere when they arrive in the hotel lobby and guest rooms. The interior of the guest rooms are dominated by natural wood with classic brown and cream walls. Green plants, artistic wall paintings, and the stunning view of Jogja City ensure a memorable stay. This air-conditioned hotel features an array of facilities such as a TV lounge, cafe and restaurant. Internet access, room service and laundry service are also offered. 
Abdi Jogja boasts three room categories, which are Suite Room, Deluxe Room and Superior. The rooms offer an en-suite bathroom with a shower, bath and hairdryer. A direct dial telephone, TV, an internet access, safe and minibar are also provided. Each room is furnished with tea and coffee making facilities, as well as air conditioning. Furthermore, for guests who choose Suite Room will be indulged by the stunning views of Mount Merapi. 
A breakfast buffet is served daily. To satisfy hotel guests who want to savor kinds of food and beverages, Abadi Jogja provides Merapi Coffee Shop features free hot spot internet access. 
Guests can take a refreshing dip in the outdoor swimming pool, or sunbath at the poolside. For those who want to pamper themselves, various body treatments are also offered at Kusuma Spa and Message.","As a luxurious hotel in Malioboro area, Abdi Jogja boasts red design and features the exclusive building and a large parking area. Guests at this business can immediately feel the peaceful and comfortable atmosphere when they arrive in the hotel lobby and guest rooms. The interior of the guest rooms are dominated by natural wood with classic brown and cream walls. Green plants, artistic wall paintings, and the stunning view of Jogja City ensure a memorable stay. This air-conditioned hotel features an array of facilities such as a TV lounge, cafe and restaurant. Internet access, room service and laundry service are also offered. 
Abdi Jogja boasts three room categories, which are Suite Room, Deluxe Room and Superior. The rooms offer an en-suite bathroom with a shower, bath and hairdryer. A direct dial telephone, TV, an internet access, safe and minibar are also provided. Each room is furnished with tea and coffee making facilities, as well as air conditioning. Furthermore, for guests who choose Suite Room will be indulged by the stunning views of Mount Merapi. 
A breakfast buffet is served daily. To satisfy hotel guests who want to savor kinds of food and beverages, Abadi Jogja provides Merapi Coffee Shop features free hot spot internet access. 
Guests can take a refreshing dip in the outdoor swimming pool, or sunbath at the poolside. For those who want to pamper themselves, various body treatments are also offered at Kusuma Spa and Message.",none
Abrisam Shareeah Family Homestay,3,"This property located near Palace of Yogyakarta. This villa features a garden, free self parking, and free WiFi in public areas. The villa features a kitchenette with a refrigerator and a stovetop, plus 2 bathrooms and a flat-screen TV with satellite channels. Guests can appreciate conveniences like a living room and a dining area, and other amenities include a patio and a rice cooker. Housekeeping is available on request. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Free self parking is available onsite.
 There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation.
Make yourself comfortable in this air-conditioned villa, featuring a kitchenette with a refrigerator and a stovetop. There's a private patio. A flat-screen television is provided for your entertainment. Conveniences include a separate sitting area and a rice cooker, and housekeeping is provided on request.
 Nearby Attractions
 Batik Plentong 0.4 km / 0.2 mi Lana Gallery 0.5 km / 0.3 mi Masjid Jogokariyan 0.8 km / 0.5 mi Alun Alun Kidul 2.2 km / 1.4 mi Water Castle (Tamansari) 2.2 km / 1.4 mi Gumuling Well 2.3 km / 1.4 mi Kampoeng Cyber 2.3 km / 1.4 mi Sasono Hinggil 2.3 km / 1.5 mi Taman Pintar Science Park 2.4 km / 1.5 mi Malioboro Street 2.5 km / 1.5 mi Sonobudoyo Museum 2.5 km / 1.6 mi Senopati 2.7 km / 1.6 mi Palace of Yogyakarta 2.7 km / 1.7 mi Fort Vredeburg Museum 2.7 km / 1.7 mi Gedung Agung 2.7 km / 1.7 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 12 km / 7.5 mi","This property located near Palace of Yogyakarta. This villa features a garden, free self parking, and free WiFi in public areas. The villa features a kitchenette with a refrigerator and a stovetop, plus 2 bathrooms and a flat-screen TV with satellite channels. Guests can appreciate conveniences like a living room and a dining area, and other amenities include a patio and a rice cooker. Housekeeping is available on request. 
Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
Free self parking is available onsite.
 There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation.
Make yourself comfortable in this air-conditioned villa, featuring a kitchenette with a refrigerator and a stovetop. There's a private patio. A flat-screen television is provided for your entertainment. Conveniences include a separate sitting area and a rice cooker, and housekeeping is provided on request.
",Batik Plentong 0.4 km / 0.2 mi Lana Gallery 0.5 km / 0.3 mi Masjid Jogokariyan 0.8 km / 0.5 mi Alun Alun Kidul 2.2 km / 1.4 mi Water Castle (Tamansari) 2.2 km / 1.4 mi Gumuling Well 2.3 km / 1.4 mi Kampoeng Cyber 2.3 km / 1.4 mi Sasono Hinggil 2.3 km / 1.5 mi Taman Pintar Science Park 2.4 km / 1.5 mi Malioboro Street 2.5 km / 1.5 mi Sonobudoyo Museum 2.5 km / 1.6 mi Senopati 2.7 km / 1.6 mi Palace of Yogyakarta 2.7 km / 1.7 mi Fort Vredeburg Museum 2.7 km / 1.7 mi Gedung Agung 2.7 km / 1.7 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 12 km / 7.5 mi
Ada Waktu Villa,2,"This property located near History Museum of Antiquities Pleret. This guesthouse features a restaurant, an outdoor pool, and coffee/tea in a common area. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Other amenities include a refrigerator in a common area, free use of bicycles, and concierge services. All 6 rooms offer free WiFi, desks, and free toiletries. 
Pamper yourself with onsite massages or enjoy recreation amenities such as an outdoor pool. This guesthouse also features complimentary wireless Internet access, concierge services, and a television in a common area. Getting to nearby attractions is a breeze with the area shuttle (surcharge).
Featured amenities include luggage storage, laundry facilities, and coffee/tea in a common area. A roundtrip airport shuttle is provided for a surcharge (available on request), and free self parking is available onsite.
 Airport shuttle service is available on request during limited hours. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 6 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks, and housekeeping is provided daily.
At Ada Waktu Villa, enjoy a satisfying meal at the restaurant. A complimentary local cuisine breakfast is served daily from 6 AM to 10:30 AM.
 Nearby Attractions
 History Museum of Antiquities Pleret 0.4 km / 0.3 mi Legi Kotagede Market 6.5 km / 4 mi Great Mosque Kotagede Mataram 6.8 km / 4.2 mi Museum Kekayon 7 km / 4.3 mi Lapangan Karang Kotagede 7.5 km / 4.6 mi Tombs Of The Kings Of Mataram Kotagede 7.7 km / 4.8 mi Kids Fun Park 8.3 km / 5.1 mi De Mata Trick Eye 3D Museum 8.7 km / 5.4 mi Lana Gallery 8.7 km / 5.4 mi Gembira Loka Zoo 9.4 km / 5.8 mi Masjid Jogokariyan 9.4 km / 5.9 mi Jogja Expo Center 9.7 km / 6 mi Faculty of Industrial Technology 9.8 km / 6.1 mi Batik Plentong 9.8 km / 6.1 mi Alun Alun Kidul 11 km / 6.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 14 km / 8.7 mi","This property located near History Museum of Antiquities Pleret. This guesthouse features a restaurant, an outdoor pool, and coffee/tea in a common area. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Other amenities include a refrigerator in a common area, free use of bicycles, and concierge services. All 6 rooms offer free WiFi, desks, and free toiletries. 
Pamper yourself with onsite massages or enjoy recreation amenities such as an outdoor pool. This guesthouse also features complimentary wireless Internet access, concierge services, and a television in a common area. Getting to nearby attractions is a breeze with the area shuttle (surcharge).
Featured amenities include luggage storage, laundry facilities, and coffee/tea in a common area. A roundtrip airport shuttle is provided for a surcharge (available on request), and free self parking is available onsite.
 Airport shuttle service is available on request during limited hours. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 6 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks, and housekeeping is provided daily.
At Ada Waktu Villa, enjoy a satisfying meal at the restaurant. A complimentary local cuisine breakfast is served daily from 6 AM to 10:30 AM.
 ",History Museum of Antiquities Pleret 0.4 km / 0.3 mi Legi Kotagede Market 6.5 km / 4 mi Great Mosque Kotagede Mataram 6.8 km / 4.2 mi Museum Kekayon 7 km / 4.3 mi Lapangan Karang Kotagede 7.5 km / 4.6 mi Tombs Of The Kings Of Mataram Kotagede 7.7 km / 4.8 mi Kids Fun Park 8.3 km / 5.1 mi De Mata Trick Eye 3D Museum 8.7 km / 5.4 mi Lana Gallery 8.7 km / 5.4 mi Gembira Loka Zoo 9.4 km / 5.8 mi Masjid Jogokariyan 9.4 km / 5.9 mi Jogja Expo Center 9.7 km / 6 mi Faculty of Industrial Technology 9.8 km / 6.1 mi Batik Plentong 9.8 km / 6.1 mi Alun Alun Kidul 11 km / 6.9 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 14 km / 8.7 mi
Adhisthana,2,"Adhisthana Hotel is situated in Prawirotaman area, a laidback neighbourhood in the Southern part of Yogyakarta; yet a lively tourist area lined with restaurants, bakeries, travel services and shops. It is only a few minutes away from the Royal Palace of Yogyakarta. Named after the ancient Sanskrit words for ‘blessing’, and literally a ‘site, position or residence’, it translates our vision to create a relaxed and tranquil base in an ambience of a private home from which to explore the Javanese heritage. The hotel is designed using local materials to create home-style Javanese ambience with decoration influenced by Chinese and European style to embrace the rich cultivation of Javanese history today.
There are many types of rooms available here. From Dormitory with bunk beds, to suite rooms. Each room equipped with dressing table, ensuite bathroom with hot cold-water shower, 32” LED TV with select international channels, Air-conditioner.
Occupying the front corner of the building, Lawas no. 613 welcomes everyone to sit down and have breakfast, lunch and dinner, or just to unwind after exploring the city in a relaxing atmosphere. Lawas no. 613 serves variety of Indonesian and international dishes made by local and fresh ingredients. Our kitchen doesn’t use preservatives and MSGs as we concern your health and well-being. Satisfy your appetite with our Indonesian selections that use our special grandmothers’ kitchen traditional recipes. 
The Living Room; As the centre point of the hotel, it is the melting pot for our guests to chill out and share their stories. The living room is styled to feel comfortable, just like at home. It is equipped with reading materials and games to keep our guests entertained. Just ask our friendly staffs, and they will be pleased to introduce you some interesting traditional games.","Adhisthana Hotel is situated in Prawirotaman area, a laidback neighbourhood in the Southern part of Yogyakarta; yet a lively tourist area lined with restaurants, bakeries, travel services and shops. It is only a few minutes away from the Royal Palace of Yogyakarta. Named after the ancient Sanskrit words for ‘blessing’, and literally a ‘site, position or residence’, it translates our vision to create a relaxed and tranquil base in an ambience of a private home from which to explore the Javanese heritage. The hotel is designed using local materials to create home-style Javanese ambience with decoration influenced by Chinese and European style to embrace the rich cultivation of Javanese history today.
There are many types of rooms available here. From Dormitory with bunk beds, to suite rooms. Each room equipped with dressing table, ensuite bathroom with hot cold-water shower, 32” LED TV with select international channels, Air-conditioner.
Occupying the front corner of the building, Lawas no. 613 welcomes everyone to sit down and have breakfast, lunch and dinner, or just to unwind after exploring the city in a relaxing atmosphere. Lawas no. 613 serves variety of Indonesian and international dishes made by local and fresh ingredients. Our kitchen doesn’t use preservatives and MSGs as we concern your health and well-being. Satisfy your appetite with our Indonesian selections that use our special grandmothers’ kitchen traditional recipes. 
The Living Room; As the centre point of the hotel, it is the melting pot for our guests to chill out and share their stories. The living room is styled to feel comfortable, just like at home. It is equipped with reading materials and games to keep our guests entertained. Just ask our friendly staffs, and they will be pleased to introduce you some interesting traditional games.",none
Adikarta Guesthouse Janti,2,"This property located near Gembira Loka Zoo. This guesthouse features WiFi in public areas and free self parking. All 4 rooms provide kitchenettes with stovetops, plus WiFi and LCD TVs with cable channels. Other amenities available to guests include electric kettles, free bottled water, and ceiling fans. 
Take in the views from a terrace and make use of amenities such as wireless Internet access (surcharge).
Free self parking is available onsite.
 
There is no front desk at this property. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation.
 
Make yourself at home in one of the 4 air-conditioned rooms featuring kitchenettes. LCD televisions with cable programming provide entertainment, while wireless Internet access (surcharge) keeps you connected. Conveniences include desks and electric kettles, and housekeeping is provided daily.
 Nearby Attractions
 
 Jogja Expo Center 0.8 km / 0.5 mi Plaza Ambarrukmo 1.8 km / 1.1 mi Gembira Loka Zoo 2 km / 1.3 mi Museum Dirgantara 2.1 km / 1.3 mi Affandi Museum 2.1 km / 1.3 mi Sunan Kalijaga State Islamic University Yogyakarta 2.3 km / 1.4 mi Lippo Plaza Jogja 2.7 km / 1.7 mi TransMart Studio Mini 2.7 km / 1.7 mi Museum Kekayon 2.9 km / 1.8 mi Siloam Hospital Yogyakarta 2.9 km / 1.8 mi Sasana Among Rogo 3 km / 1.9 mi Faculty of Industrial Technology 3.3 km / 2.1 mi Batik Museum 3.9 km / 2.4 mi Kota Gede 3.9 km / 2.4 mi Galeria Mall 4 km / 2.5 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 5 km / 3.1 mi
 Surakarta (SOC-Adisumarmo Intl.) - 57.1 km / 35.5 mi","This property located near Gembira Loka Zoo. This guesthouse features WiFi in public areas and free self parking. All 4 rooms provide kitchenettes with stovetops, plus WiFi and LCD TVs with cable channels. Other amenities available to guests include electric kettles, free bottled water, and ceiling fans. 
Take in the views from a terrace and make use of amenities such as wireless Internet access (surcharge).
Free self parking is available onsite.
 
There is no front desk at this property. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation.
 
Make yourself at home in one of the 4 air-conditioned rooms featuring kitchenettes. LCD televisions with cable programming provide entertainment, while wireless Internet access (surcharge) keeps you connected. Conveniences include desks and electric kettles, and housekeeping is provided daily.
 
", Jogja Expo Center 0.8 km / 0.5 mi Plaza Ambarrukmo 1.8 km / 1.1 mi Gembira Loka Zoo 2 km / 1.3 mi Museum Dirgantara 2.1 km / 1.3 mi Affandi Museum 2.1 km / 1.3 mi Sunan Kalijaga State Islamic University Yogyakarta 2.3 km / 1.4 mi Lippo Plaza Jogja 2.7 km / 1.7 mi TransMart Studio Mini 2.7 km / 1.7 mi Museum Kekayon 2.9 km / 1.8 mi Siloam Hospital Yogyakarta 2.9 km / 1.8 mi Sasana Among Rogo 3 km / 1.9 mi Faculty of Industrial Technology 3.3 km / 2.1 mi Batik Museum 3.9 km / 2.4 mi Kota Gede 3.9 km / 2.4 mi Galeria Mall 4 km / 2.5 mi The nearest airports are:Yogyakarta (JOG-Adisucipto Intl.) - 5 km / 3.1 mi Surakarta (SOC-Adisumarmo Intl.) - 57.1 km / 35.5 mi
Adikarta Guesthouse Seturan,1,"This property located near Hartono Mall. A coffee shop/café, tour/ticket assistance, and free WiFi in public areas are available at this guesthouse. All 8 rooms offer free WiFi, safes, and showers. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and tour/ticket assistance.
 
Make yourself at home in one of the 8 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
 
Satisfy your appetite at the guesthouse's coffee shop/café.
 Nearby Attractions 
 Hartono Mall 2 km / 1.3 m iPlaza Ambarrukmo 2.9 km / 1.8 mi Maguwoharjo Stadium 3.2 km / 2 mi TransMart Studio Mini 3.2 km / 2 mi Affandi Museum 3.4 km / 2.1 mi Jogja Bay 3.5 km / 2.2 mi Sunan Kalijaga State Islamic University Yogyakarta 3.7 km / 2.3 mi Museum Dirgantara 3.9 km / 2.4 mi Lippo Plaza Jogja 4.1 km / 2.5 mi Yogyakarta State University 4.2 km / 2.6 mi Siloam Hospital Yogyakarta 4.4 km / 2.7 mi Gadjah Mada University 4.8 km / 3 mi Jogja Expo Center 4.8 km / 3 mi Sambisari Temple 5.8 km / 3.6 mi Galeria Mall 5.9 km / 3.7 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 5.7 km / 3.5 mi
 Surakarta (SOC-Adisumarmo Intl.) - 57.8 km / 35.9 mi","This property located near Hartono Mall. A coffee shop/café, tour/ticket assistance, and free WiFi in public areas are available at this guesthouse. All 8 rooms offer free WiFi, safes, and showers. 
Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and tour/ticket assistance.
 
Make yourself at home in one of the 8 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
 
Satisfy your appetite at the guesthouse's coffee shop/café.
", Hartono Mall 2 km / 1.3 m iPlaza Ambarrukmo 2.9 km / 1.8 mi Maguwoharjo Stadium 3.2 km / 2 mi TransMart Studio Mini 3.2 km / 2 mi Affandi Museum 3.4 km / 2.1 mi Jogja Bay 3.5 km / 2.2 mi Sunan Kalijaga State Islamic University Yogyakarta 3.7 km / 2.3 mi Museum Dirgantara 3.9 km / 2.4 mi Lippo Plaza Jogja 4.1 km / 2.5 mi Yogyakarta State University 4.2 km / 2.6 mi Siloam Hospital Yogyakarta 4.4 km / 2.7 mi Gadjah Mada University 4.8 km / 3 mi Jogja Expo Center 4.8 km / 3 mi Sambisari Temple 5.8 km / 3.6 mi Galeria Mall 5.9 km / 3.7 mi The nearest airports are: Yogyakarta (JOG-Adisucipto Intl.) - 5.7 km / 3.5 mi Surakarta (SOC-Adisumarmo Intl.) - 57.8 km / 35.9 mi
Adya Nalendra Boutique,3,"Featuring traditional Javanese and Chinese design styles, Adya Nalendra Boutique boasts an array of utmost amenities to fulfill guests' needs. They will be welcomed friendly in a lobby with 24-hour reception service and lift access. Facilities offered at this air-conditioned conference hotel are with a hairdressing salon, restaurant, conference facilities, room and laundry services, as well as internet access. Guests arriving by car may leave their vehicle in the car park. Other amenities comprise currency exchange facility, doctor on call and WiFi in public area. 
The accommodation is divided into some categories, namely Superior Room, Classical Javanese Deluxe Room, Classical Chinese Deluxe Room, Classical Deluxe Room, Executive Suite and Executive Suite with classical Javanese setting. Each room features an en-suite bathroom with shower, bathtub and hairdryer. In-room amenities include a direct dial telephone, satellite TV, WiFi internet access, a minibar, fridge and individually regulated air conditioning units. 
Breakfast is served each morning, and for guests who want to have tasty food and fresh beverages available 24-hour restaurant. 
Guests can enjoy a work-out in an aerobics session.","Featuring traditional Javanese and Chinese design styles, Adya Nalendra Boutique boasts an array of utmost amenities to fulfill guests' needs. They will be welcomed friendly in a lobby with 24-hour reception service and lift access. Facilities offered at this air-conditioned conference hotel are with a hairdressing salon, restaurant, conference facilities, room and laundry services, as well as internet access. Guests arriving by car may leave their vehicle in the car park. Other amenities comprise currency exchange facility, doctor on call and WiFi in public area. 
The accommodation is divided into some categories, namely Superior Room, Classical Javanese Deluxe Room, Classical Chinese Deluxe Room, Classical Deluxe Room, Executive Suite and Executive Suite with classical Javanese setting. Each room features an en-suite bathroom with shower, bathtub and hairdryer. In-room amenities include a direct dial telephone, satellite TV, WiFi internet access, a minibar, fridge and individually regulated air conditioning units. 
Breakfast is served each morning, and for guests who want to have tasty food and fresh beverages available 24-hour restaurant. 
Guests can enjoy a work-out in an aerobics session.",none
Agrapana Guest House,0,"Ideally located in the prime touristic area of Depok, Agrapana Guest House promises a relaxing and wonderful visit. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. All the necessary facilities, including Wi-Fi in public areas, car park, family room, shared lounge/TV area, shared kitchen, are at hand. Designed for comfort, selected guestrooms offer internet access – wireless (complimentary), air conditioning, desk, television, satellite/cable TV to ensure a restful night. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including garden. Agrapana Guest House combines warm hospitality with a lovely ambiance to make your stay in Yogyakarta unforgettable.","Ideally located in the prime touristic area of Depok, Agrapana Guest House promises a relaxing and wonderful visit. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. All the necessary facilities, including Wi-Fi in public areas, car park, family room, shared lounge/TV area, shared kitchen, are at hand. Designed for comfort, selected guestrooms offer internet access – wireless (complimentary), air conditioning, desk, television, satellite/cable TV to ensure a restful night. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including garden. Agrapana Guest House combines warm hospitality with a lovely ambiance to make your stay in Yogyakarta unforgettable.",none
Agrapana Guesthouse 2,2,"This property located near Gadjah Mada University. All 10 rooms offer free WiFi, LCD TVs, and free bottled water. 
 
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
 
Make yourself at home in one of the 10 air-conditioned rooms featuring LCD televisions. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.
 Nearby Attractions
 Hartono Mall 2.1 km / 1.3 mi Yogya Kembali Monument 2.1 km / 1.3 mi Gadjah Mada University 2.8 km / 1.8 mi Yogyakarta State University 3.3 km / 2 mi Jogja City Mall 3.4 km / 2.1 mi Galeria Mall 4 km / 2.5 mi Siloam Hospital Yogyakarta 4.1 km / 2.5 mi Malioboro Street 4.1 km / 2.6 mi Yogyakarta Monument 4.3 km / 2.7 mi Lippo Plaza Jogja 4.3 km / 2.7 mi Sunan Kalijaga State Islamic University Yogyakarta 4.8 km / 3 mi Affandi Museum 4.8 km / 3 mi Jogja Bay 5.3 km / 3.3 mi Maguwoharjo Stadium 5.6 km / 3.5 mi Plaza Ambarrukmo 5.9 km / 3.7 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 8.7 km / 5.4 mi
 Surakarta (SOC-Adisumarmo Intl.) - 60.8 km / 37.8 mi
 The preferred airport for Agrapana Guesthouse 2 is Yogyakarta (JOG-Adisucipto Intl.).","This property located near Gadjah Mada University. All 10 rooms offer free WiFi, LCD TVs, and free bottled water. 
 
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
 
Make yourself at home in one of the 10 air-conditioned rooms featuring LCD televisions. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.", Hartono Mall 2.1 km / 1.3 mi Yogya Kembali Monument 2.1 km / 1.3 mi Gadjah Mada University 2.8 km / 1.8 mi Yogyakarta State University 3.3 km / 2 mi Jogja City Mall 3.4 km / 2.1 mi Galeria Mall 4 km / 2.5 mi Siloam Hospital Yogyakarta 4.1 km / 2.5 mi Malioboro Street 4.1 km / 2.6 mi Yogyakarta Monument 4.3 km / 2.7 mi Lippo Plaza Jogja 4.3 km / 2.7 mi Sunan Kalijaga State Islamic University Yogyakarta 4.8 km / 3 mi Affandi Museum 4.8 km / 3 mi Jogja Bay 5.3 km / 3.3 mi Maguwoharjo Stadium 5.6 km / 3.5 mi Plaza Ambarrukmo 5.9 km / 3.7 mi The nearest airports are: Yogyakarta (JOG-Adisucipto Intl.) - 8.7 km / 5.4 mi Surakarta (SOC-Adisumarmo Intl.) - 60.8 km / 37.8 mi The preferred airport for Agrapana Guesthouse 2 is Yogyakarta (JOG-Adisucipto Intl.).
